"row_id","order_id","order_date","ship_date","ship_mode","customer_id","customer_name","segment","city","state","country","postal_code","market","region","product_id","sales","quantity","discount","profit","shipping_cost","order_priority"
"21586","IN-2011-44803","2011-05-02","2011-05-03","First Class","JK-15325","Jason Klamczynski","Corporate","Suzhou","Anhui","China","","APAC","North Asia","FUR-CH-10000027","2754","6","0","358.02","752.47","Critical"
"13528","ES-2013-2860574","2013-02-27","2013-03-01","Second Class","LB-16795","Laurel Beltran","Home Office","Edinburgh","Scotland","United Kingdom","","EU","North","OFF-AP-10003590","5273.7","10","0","1898.4","730.91","High"
"1570","US-2014-133193","2014-07-31","2014-08-01","First Class","NP-18325","Naresj Patel","Consumer","Juárez","Chihuahua","Mexico","","LATAM","North","TEC-PH-10004182","1713.84","4","0","445.52","728.968","Critical"
"3484","MX-2014-165309","2014-09-05","2014-09-08","First Class","VD-21670","Valerie Dominguez","Consumer","Soyapango","San Salvador","El Salvador","","LATAM","Central","FUR-TA-10002827","2106.496","8","0.2","526.496","728.389","Critical"
"30191","IN-2011-10286","2011-12-17","2011-12-20","First Class","PB-19210","Phillip Breyer","Corporate","Taipei","Taipei City","Taiwan","","APAC","North Asia","FUR-TA-10004744","1715.16","2","0","720.36","725.57","Critical"
"11645","ES-2011-4699764","2011-03-14","2011-03-17","Second Class","EB-14110","Eugene Barchas","Consumer","Leipzig","Saxony","Germany","","EU","Central","OFF-AP-10004512","3069.738","6","0.1","1364.238","725.34","Critical"
"37311","CA-2013-159016","2013-03-11","2013-03-12","First Class","KF-16285","Karen Ferguson","Home Office","Los Angeles","California","United States","90008","US","West","TEC-PH-10002885","4158.912","8","0.2","363.9048","714.66","High"
"22999","IN-2012-44810","2012-02-25","2012-02-25","Same Day","BP-11230","Benjamin Patterson","Consumer","Surat","Gujarat","India","","APAC","Central Asia","FUR-CH-10001415","1878.72","4","0","582.36","704.08","Critical"
"220","US-2011-128776","2011-12-28","2011-12-30","Second Class","RR-19525","Rick Reed","Corporate","Santo Domingo","Santo Domingo","Dominican Republic","","LATAM","Caribbean","TEC-PH-10002815","1696.64","5","0.2","-148.46","704.056","Critical"
"10648","ES-2012-5870268","2012-07-17","2012-07-19","First Class","BS-11365","Bill Shonely","Corporate","Saint-Brieuc","Brittany","France","","EU","Central","TEC-MA-10000161","2402.865","9","0.15","763.155","699.55","Critical"
"32735","CA-2012-139731","2012-10-15","2012-10-15","Same Day","JE-15745","Joel Eaton","Consumer","Amarillo","Texas","United States","79109","US","Central","FUR-CH-10002024","2453.43","5","0.3","-350.49","690.42","High"
"21286","IN-2011-28087","2011-11-03","2011-11-05","Second Class","DP-13105","Dave Poirier","Corporate","Gold Coast","Queensland","Australia","","APAC","Oceania","OFF-AP-10004246","2526.93","5","0.1","561.48","689.8","Critical"
"32543","CA-2011-168494","2011-12-12","2011-12-14","Second Class","NP-18700","Nora Preis","Consumer","Fresno","California","United States","93727","US","West","FUR-TA-10003473","3610.848","12","0.2","135.4068","683.12","High"
"47905","CG-2011-8610","2011-09-14","2011-09-15","First Class","AH-30","Aaron Hawkins","Corporate","Kamina","Katanga","Democratic Republic of the Congo","","Africa","Africa","TEC-APP-10000308","3817.26","6","0","1068.66","678.15","High"
"36423","CA-2011-160766","2011-09-14","2011-09-14","Same Day","DM-13015","Darrin Martin","Consumer","New York City","New York","United States","10009","US","East","TEC-MA-10003979","2799.96","4","0","1371.9804","675.15","High"
"31980","US-2014-168116","2014-11-05","2014-11-05","Same Day","GT-14635","Grant Thornton","Corporate","Burlington","North Carolina","United States","27217","US","South","TEC-MA-10004125","7999.98","4","0.5","-3839.9904","674.82","High"
"15380","ES-2014-2637201","2014-01-14","2014-01-18","Standard Class","PO-18865","Patrick O'Donnell","Consumer","Stockton-on-Tees","England","United Kingdom","","EU","North","TEC-CO-10000013","4141.02","13","0","1697.67","668.96","High"
"28046","IN-2011-61302","2011-01-10","2011-01-11","First Class","DL-12865","Dan Lawera","Consumer","Brisbane","Queensland","Australia","","APAC","Oceania","TEC-PH-10004664","2875.095","5","0.1","511.095","665.27","Medium"
"21316","ID-2013-63976","2013-08-22","2013-08-26","Standard Class","JB-16000","Joy Bell-","Consumer","Mataram","Nusa Tenggara Barat","Indonesia","","APAC","Southeast Asia","TEC-PH-10000499","3200.5962","6","0.17","-77.2038","660.87","High"
"29272","IN-2014-37320","2014-11-11","2014-11-15","Standard Class","BF-11005","Barry Franz","Home Office","Gorakhpur","Haryana","India","","APAC","Central Asia","TEC-PH-10003856","4518.78","7","0","632.52","658.69","High"
"25795","IN-2014-76016","2014-09-26","2014-09-28","Second Class","VG-21805","Vivek Grady","Corporate","Thiruvananthapuram","Kerala","India","","APAC","Central Asia","FUR-BO-10004852","5667.87","13","0","2097.03","658.35","Medium"
"16681","ES-2012-5877219","2012-12-13","2012-12-17","Standard Class","GT-14710","Greg Tran","Consumer","Huddersfield","England","United Kingdom","","EU","North","TEC-PH-10004583","5785.02","9","0","404.73","656.73","High"
"15953","IT-2011-3183678","2011-09-23","2011-09-25","First Class","ZC-21910","Zuschuss Carroll","Consumer","Berlin","Berlin","Germany","","EU","Central","OFF-AP-10000486","3018.624","7","0.2","377.244","655.91","Critical"
"35395","CA-2011-116904","2011-09-23","2011-09-28","Standard Class","SC-20095","Sanjit Chand","Consumer","Minneapolis","Minnesota","United States","55407","US","Central","OFF-BI-10001120","9449.95","5","0","4630.4755","655.61","Medium"
"13847","IT-2013-3085011","2013-03-08","2013-03-08","Same Day","EB-13840","Ellis Ballard","Corporate","Montreuil","Ile-de-France","France","","EU","Central","FUR-CH-10003365","2092.5","5","0.1","720.75","652.98","Critical"
"24341","IN-2014-50473","2014-08-28","2014-08-29","First Class","AP-10915","Arthur Prichep","Consumer","Shouguang","Shandong","China","","APAC","North Asia","FUR-CH-10000602","2761.2","6","0","110.34","644.75","High"
"28701","IN-2014-35983","2014-05-01","2014-05-01","Same Day","SW-20275","Scott Williamson","Consumer","Jamshedpur","Jharkhand","India","","APAC","Central Asia","TEC-MA-10002680","2174.13","7","0","500.01","637.86","Critical"
"6550","MX-2014-126984","2014-12-18","2014-12-20","Second Class","JH-15820","John Huston","Consumer","Paysandú","Paysandú","Uruguay","","LATAM","South","FUR-CH-10000891","3473.14","11","0","868.12","634.529","High"
"40046","US-2012-163825","2012-06-16","2012-06-19","First Class","LC-16885","Lena Creighton","Consumer","New York City","New York","United States","10009","US","East","OFF-BI-10003527","3050.376","3","0.2","1143.891","632.05","High"
"48360","IR-2014-8540","2014-09-18","2014-09-21","First Class","TG-11640","Trudy Glocke","Consumer","Behshahr","Mazandaran","Iran","","EMEA","EMEA","TEC-CAN-10003392","2108.64","8","0","527.04","630.97","Critical"
"38198","US-2014-135013","2014-07-25","2014-07-25","Same Day","HR-14830","Harold Ryan","Corporate","Huntington Beach","California","United States","92646","US","West","TEC-CO-10001449","2399.96","5","0.2","839.986","630.05","High"
"30190","IN-2011-10286","2011-12-17","2011-12-20","First Class","PB-19210","Phillip Breyer","Corporate","Taipei","Taipei City","Taiwan","","APAC","North Asia","FUR-BO-10001372","2197.5","5","0","153.75","627.27","Critical"
"42336","MZ-2013-3690","2013-12-18","2013-12-18","Same Day","DG-3300","Deirdre Greer","Corporate","Maputo","Cidade De Maputo","Mozambique","","Africa","Africa","TEC-MOT-10002272","2582.16","4","0","593.88","627.17","High"
"29047","IN-2012-66342","2012-05-30","2012-05-31","First Class","SG-20470","Sheri Gordon","Consumer","Bhopal","Madhya Pradesh","India","","APAC","Central Asia","TEC-CO-10004997","1526.52","4","0","732.72","625.77","Critical"
"32941","CA-2012-111829","2012-03-19","2012-03-20","First Class","FH-14365","Fred Hopkins","Corporate","Seattle","Washington","United States","98115","US","West","TEC-CO-10001766","3149.93","7","0","1480.4671","617.92","High"
"29601","IN-2012-48240","2012-05-25","2012-05-28","Second Class","GP-14740","Guy Phonely","Corporate","Delhi","Delhi","India","","APAC","Central Asia","FUR-TA-10000226","1745.34","2","0","226.86","616.27","Critical"
"23499","IN-2014-61792","2014-08-05","2014-08-06","First Class","MW-18220","Mitch Webber","Consumer","Geraldton","Western Australia","Australia","","APAC","Oceania","OFF-AP-10002244","4191.507","9","0.1","1164.267","614.34","High"
"35594","CA-2014-129021","2014-08-24","2014-08-27","Second Class","PO-18850","Patrick O'Brill","Consumer","Tallahassee","Florida","United States","32303","US","South","TEC-PH-10001459","4367.896","13","0.2","327.5922","609.44","Medium"
"26634","IN-2014-75470","2014-03-11","2014-03-13","Second Class","CS-12460","Chuck Sachs","Consumer","Dhaka","Dhaka","Bangladesh","","APAC","Central Asia","FUR-BO-10001073","3063.27","7","0","581.91","609.24","High"
"39501","CA-2012-114811","2012-11-08","2012-11-08","Same Day","KD-16495","Keith Dawkins","Corporate","New York City","New York","United States","10024","US","East","TEC-MA-10000045","4643.8","4","0","2229.024","607.34","Medium"
"10522","ES-2014-4673578","2014-08-11","2014-08-16","Second Class","MS-17980","Michael Stewart","Corporate","Munster","Lower Saxony","Germany","","EU","Central","TEC-PH-10002035","4473","7","0","313.11","604.4","Medium"
"10549","IT-2013-3376681","2013-08-31","2013-09-03","First Class","KC-16675","Kimberly Carter","Corporate","Celle","Lower Saxony","Germany","","EU","Central","TEC-PH-10002565","1502.01","9","0","225.18","600.21","Critical"
"25314","IN-2014-66615","2014-01-18","2014-01-23","Standard Class","DB-13405","Denny Blanton","Consumer","Wuxi","Jiangsu","China","","APAC","North Asia","FUR-CH-10000027","5049","11","0","656.37","595.5","High"
"39977","CA-2013-143805","2013-12-02","2013-12-04","Second Class","JD-15895","Jonathan Doherty","Corporate","Richmond","Virginia","United States","23223","US","South","OFF-AP-10002945","2104.55","7","0","694.5015","594.02","Critical"
"16653","IT-2014-4540740","2014-12-07","2014-12-08","First Class","DK-13090","Dave Kipp","Consumer","Seville","Andalusía","Spain","","EU","South","FUR-BO-10004999","2188.05","5","0","1050.15","593.91","High"
"28932","IN-2014-11231","2014-12-16","2014-12-19","First Class","CS-11845","Cari Sayre","Corporate","Raipur","Uttarakhand","India","","APAC","Central Asia","FUR-TA-10001205","1920.36","4","0","652.92","592.77","Critical"
"8029","MX-2014-154907","2014-11-20","2014-11-20","Same Day","EM-14200","Evan Minnotte","Home Office","Gómez Palacio","Durango","Mexico","","LATAM","North","TEC-PH-10004196","1704","4","0","119.28","592.726","Critical"
"50411","UP-2011-8610","2011-11-09","2011-11-11","First Class","DW-3480","Dianna Wilson","Home Office","Kharkiv","Kharkiv","Ukraine","","EMEA","EMEA","FUR-CHR-10001018","1858.68","4","0","130.08","590.56","Critical"
"21191","IN-2013-40050","2013-06-07","2013-06-09","First Class","AS-10225","Alan Schoenberger","Corporate","Jinan","Shandong","China","","APAC","North Asia","FUR-CH-10003232","3298.26","7","0","1055.25","589.36","High"
"4960","MX-2011-110275","2011-11-22","2011-11-23","First Class","ST-20530","Shui Tom","Consumer","Chinandega","Chinandega","Nicaragua","","LATAM","Central","OFF-AP-10001630","2443.48","13","0","121.94","589.293","Medium"
"49085","CG-2013-6110","2013-03-29","2013-03-31","Second Class","BW-1065","Barry Weirich","Consumer","Kananga","Kasai-Occidental","Democratic Republic of the Congo","","Africa","Africa","FUR-HAR-10002873","3808.8","8","0","1523.52","588.13","High"
"21209","IN-2014-30110","2014-08-26","2014-08-27","First Class","LA-16780","Laura Armstrong","Corporate","Palembang","Sumatera Selatan","Indonesia","","APAC","Southeast Asia","FUR-TA-10000687","3427.1496","7","0.47","-452.8104","586.57","High"
"12161","ES-2012-2058076","2012-09-20","2012-09-22","Second Class","AB-10150","Aimee Bixby","Consumer","London","England","United Kingdom","","EU","North","TEC-PH-10004505","3441.69","6","0.1","38.07","585.25","High"
"25438","IN-2014-51950","2014-05-16","2014-05-18","Second Class","JH-15820","John Huston","Consumer","Melbourne","Victoria","Australia","","APAC","Oceania","TEC-PH-10002683","2863.35","5","0.1","858.9","581.88","Critical"
"31806","CA-2012-145352","2012-03-16","2012-03-22","Standard Class","CM-12385","Christopher Martinez","Consumer","Atlanta","Georgia","United States","30318","US","South","OFF-BI-10003527","6354.95","5","0","3177.475","581.12","Medium"
"16988","ES-2013-4670866","2013-11-24","2013-11-25","First Class","BE-11410","Bobby Elias","Consumer","Duisburg","North Rhine-Westphalia","Germany","","EU","Central","TEC-CO-10002269","1487.4","10","0","728.7","580.98","Critical"
"24443","IN-2011-62506","2011-11-09","2011-11-11","Second Class","SZ-20035","Sam Zeldin","Home Office","Nanchong","Sichuan","China","","APAC","North Asia","TEC-CO-10002526","3200.04","9","0","1183.95","576.71","Medium"
"30199","IN-2011-46413","2011-10-28","2011-10-28","Same Day","RM-19375","Raymond Messe","Consumer","Naihati","West Bengal","India","","APAC","Central Asia","FUR-CH-10000602","2301","5","0","91.95","573.27","Critical"
"13879","ES-2014-3785216","2014-11-19","2014-11-23","Standard Class","HG-14845","Harry Greene","Consumer","Lille","Nord-Pas-de-Calais","France","","EU","Central","FUR-CH-10002891","5729.346","14","0.1","63.546","572.95","High"
"50788","MO-2014-2000","2014-10-28","2014-10-30","Second Class","DP-3105","Dave Poirier","Corporate","Meknes","Meknès-Tafilalet","Morocco","","Africa","Africa","TEC-CAN-10001437","5301.24","14","0","2597.28","568.45","Medium"
"37817","CA-2014-138289","2014-01-17","2014-01-19","Second Class","AR-10540","Andy Reiter","Consumer","Jackson","Michigan","United States","49201","US","Central","OFF-BI-10004995","5443.96","4","0","2504.2216","567.95","High"
"38540","CA-2014-118892","2014-08-18","2014-08-23","Second Class","TP-21415","Tom Prescott","Consumer","Philadelphia","Pennsylvania","United States","19134","US","East","FUR-CH-10002024","4416.174","9","0.3","-630.882","566.65","Medium"
"18241","ES-2013-1434123","2013-01-29","2013-02-05","Standard Class","JB-16000","Joy Bell-","Consumer","Krefeld","North Rhine-Westphalia","Germany","","EU","Central","TEC-PH-10004327","3219.9","5","0","965.85","564.25","Low"
"23013","ID-2012-78207","2012-09-18","2012-09-21","Second Class","AM-10705","Anne McFarland","Consumer","Bandung","Jawa Barat","Indonesia","","APAC","Southeast Asia","OFF-AP-10001621","2487.8088","6","0.17","-269.7912","562.14","Critical"
"45616","MO-2013-8630","2013-11-23","2013-11-23","Same Day","AB-255","Alejandro Ballentine","Home Office","Casablanca","Grand Casablanca","Morocco","","Africa","Africa","OFF-HOO-10001881","2266.44","4","0","113.28","556.45","Medium"
"25026","IN-2012-64774","2012-06-13","2012-06-13","Same Day","RP-19270","Rachel Payne","Corporate","Sydney","New South Wales","Australia","","APAC","Oceania","TEC-CO-10001954","3068.361","9","0.1","1124.901","555.77","High"
"27962","IN-2013-48765","2013-10-28","2013-10-31","First Class","BK-11260","Berenike Kampe","Consumer","Tongi","Dhaka","Bangladesh","","APAC","Central Asia","FUR-BO-10003282","3728.43","9","0","1192.86","553.31","Medium"
"26669","IN-2013-69730","2013-12-12","2013-12-14","First Class","JM-15250","Janet Martin","Consumer","Suzhou","Anhui","China","","APAC","North Asia","TEC-CO-10003102","1581.48","6","0","0","550.74","High"
"29600","IN-2012-48240","2012-05-25","2012-05-28","Second Class","GP-14740","Guy Phonely","Corporate","Delhi","Delhi","India","","APAC","Central Asia","TEC-PH-10004664","1916.73","3","0","498.33","548.4","Critical"
"38411","US-2013-102239","2013-05-06","2013-05-07","First Class","LW-16990","Lindsay Williams","Corporate","Henderson","Nevada","United States","89015","US","West","FUR-TA-10003392","1685.88","6","0","320.3172","548.08","Critical"
"19195","ES-2013-3467296","2013-12-02","2013-12-02","Same Day","NZ-18565","Nick Zandusky","Home Office","Paris","Ile-de-France","France","","EU","Central","OFF-AP-10002552","2432.16","5","0.1","513.36","546.9","Critical"
"46366","CA-2014-6550","2014-12-23","2014-12-25","Second Class","SV-10815","Stuart Van","Corporate","Montréal","Quebec","Canada","","Canada","Canada","TEC-MOT-10000554","3863.88","6","0","1159.02","546.56","Critical"
"26731","ID-2013-25742","2013-01-28","2013-01-30","First Class","SC-20695","Steve Chapman","Corporate","Manila","National Capital","Philippines","","APAC","Southeast Asia","FUR-CH-10001415","2465.82","7","0.25","197.19","546.49","High"
"31278","IN-2012-86698","2012-05-07","2012-05-07","Same Day","NC-18625","Noah Childs","Corporate","Newcastle","New South Wales","Australia","","APAC","Oceania","FUR-TA-10003627","1847.52","2","0","738.96","545.89","High"
"12035","ES-2013-2903666","2013-11-27","2013-11-29","First Class","NF-18385","Natalie Fritzler","Consumer","Graz","Styria","Austria","","EU","Central","FUR-BO-10001133","2899.89","7","0","927.78","541.59","High"
"29149","IN-2012-30446","2012-11-28","2012-12-02","Second Class","NZ-18565","Nick Zandusky","Home Office","Nowra","New South Wales","Australia","","APAC","Oceania","FUR-CH-10000027","2891.7","7","0.1","96.39","541.57","Medium"
